,flame,human,point,x,y
0,0,1,0,780,303
0,0,1,1,784,359
0,0,1,2,738,368
0,0,1,5,833,352
0,0,1,6,897,278
0,0,1,7,853,204
0,0,1,8,770,517
0,0,1,11,830,503
0,0,1,12,809,660
0,0,1,13,805,774
0,0,1,14,766,292
0,0,1,15,793,287
0,0,1,16,747,294
0,0,1,17,812,285
0,1,1,0,780,303
0,1,1,1,786,359
0,1,1,2,740,368
0,1,1,5,830,352
0,1,1,6,897,278
0,1,1,7,851,204
0,1,1,8,773,517
0,1,1,11,830,503
0,1,1,12,812,663
0,1,1,13,805,771
0,1,1,14,766,292
0,1,1,15,793,287
0,1,1,16,747,294
0,1,1,17,812,287
0,2,1,0,780,303
0,2,1,1,786,359
0,2,1,2,740,368
0,2,1,5,830,352
0,2,1,6,897,278
0,2,1,7,851,204
0,2,1,8,773,519
0,2,1,9,736,623
0,2,1,11,830,505
0,2,1,12,812,663
0,2,1,13,805,771
0,2,1,14,766,292
0,2,1,15,793,287
0,2,1,16,747,294
0,2,1,17,812,287
0,3,1,0,780,303
0,3,1,1,786,359
0,3,1,2,740,368
0,3,1,5,833,352
0,3,1,6,897,278
0,3,1,7,853,204
0,3,1,8,768,514
0,3,1,11,828,498
0,3,1,12,812,660
0,3,1,13,805,774
0,3,1,14,766,292
0,3,1,15,793,290
0,3,1,16,747,294
0,3,1,17,812,287
0,4,1,0,780,303
0,4,1,1,786,359
0,4,1,2,740,368
0,4,1,5,833,352
0,4,1,6,897,278
0,4,1,7,853,204
0,4,1,8,768,514
0,4,1,11,828,498
0,4,1,12,821,602
0,4,1,14,766,292
0,4,1,15,793,290
0,4,1,16,747,294
0,4,1,17,812,287
0,5,1,0,780,303
0,5,1,1,786,361
0,5,1,2,740,368
0,5,1,5,833,352
0,5,1,6,897,278
0,5,1,7,853,202
0,5,1,8,768,514
0,5,1,11,828,500
0,5,1,12,812,663
0,5,1,13,805,771
0,5,1,14,766,292
0,5,1,15,793,290
0,5,1,16,747,294
0,5,1,17,812,287
0,6,1,0,780,303
0,6,1,1,786,361
0,6,1,2,740,368
0,6,1,5,833,352
0,6,1,6,897,278
0,6,1,7,853,202
0,6,1,8,770,514
0,6,1,11,830,500
0,6,1,12,812,663
0,6,1,13,805,771
0,6,1,14,766,292
0,6,1,15,793,290
0,6,1,16,747,294
0,6,1,17,812,287
0,7,1,0,780,303
0,7,1,1,784,359
0,7,1,2,740,368
0,7,1,5,833,352
0,7,1,6,897,278
0,7,1,7,853,204
0,7,1,8,768,517
0,7,1,11,830,500
0,7,1,12,812,658
0,7,1,13,805,771
0,7,1,14,766,292
0,7,1,15,793,287
0,7,1,16,747,294
0,7,1,17,812,287
0,8,1,0,780,303
0,8,1,1,784,359
0,8,1,2,740,368
0,8,1,5,833,350
0,8,1,6,897,278
0,8,1,7,853,204
0,8,1,8,770,517
0,8,1,11,830,500
0,8,1,12,812,658
0,8,1,13,805,771
0,8,1,14,766,292
0,8,1,15,793,287
0,8,1,16,747,294
0,8,1,17,812,287
0,9,1,0,780,303
0,9,1,1,784,359
0,9,1,2,740,368
0,9,1,5,830,352
0,9,1,6,897,278
0,9,1,7,853,204
0,9,1,8,768,512
0,9,1,11,830,498
0,9,1,12,812,660
0,9,1,13,805,769
0,9,1,14,766,292
0,9,1,15,793,287
0,9,1,16,747,294
0,9,1,17,812,287
0,10,1,0,780,303
0,10,1,1,784,359
0,10,1,2,740,368
0,10,1,5,830,352
0,10,1,6,897,278
0,10,1,7,853,204
0,10,1,8,768,510
0,10,1,11,830,498
0,10,1,12,812,660
0,10,1,13,805,769
0,10,1,14,766,292
0,10,1,15,793,287
0,10,1,16,747,294
0,10,1,17,812,287
0,11,1,0,780,306
0,11,1,1,784,359
0,11,1,2,740,368
0,11,1,5,830,352
0,11,1,6,897,278
0,11,1,7,853,204
0,11,1,8,773,514
0,11,1,11,830,500
0,11,1,12,812,660
0,11,1,13,805,771
0,11,1,14,766,292
0,11,1,15,793,290
0,11,1,16,747,294
0,11,1,17,814,287
0,12,1,0,780,306
0,12,1,1,784,359
0,12,1,2,740,368
0,12,1,5,830,352
0,12,1,6,897,278
0,12,1,7,853,204
0,12,1,8,773,514
0,12,1,11,833,500
0,12,1,12,812,660
0,12,1,13,805,771
0,12,1,14,766,292
0,12,1,15,793,290
0,12,1,16,747,297
0,12,1,17,814,287
0,13,1,0,780,306
0,13,1,1,784,359
0,13,1,2,740,368
0,13,1,5,830,352
0,13,1,6,897,278
0,13,1,7,853,204
0,13,1,8,768,510
0,13,1,11,828,496
0,13,1,12,821,605
0,13,1,14,766,292
0,13,1,15,793,290
0,13,1,16,747,294
0,13,1,17,814,287
0,14,1,0,780,306
0,14,1,1,784,359
