,frame,human,point,x,y
0,0,1,1,641,240
0,0,1,2,597,244
0,0,1,5,682,240
0,0,1,6,762,258
0,0,1,7,844,236
0,0,1,8,600,388
0,0,1,9,602,523
0,0,1,10,602,630
0,0,1,11,655,392
0,0,1,12,710,523
0,0,1,13,762,602
0,0,1,14,612,165
0,0,1,15,632,161
0,0,1,17,665,167
0,2,1,0,618,173
0,2,1,1,641,240
0,2,1,2,597,244
0,2,1,5,682,238
0,2,1,6,764,258
0,2,1,7,844,238
0,2,1,8,597,386
0,2,1,9,600,523
0,2,1,10,602,628
0,2,1,11,653,390
0,2,1,12,708,521
0,2,1,13,760,596
0,2,1,14,612,163
0,2,1,15,630,161
0,2,1,17,663,167
0,4,1,0,618,173
0,4,1,1,641,240
0,4,1,2,597,244
0,4,1,5,682,238
0,4,1,6,762,256
0,4,1,7,844,238
0,4,1,8,597,384
0,4,1,9,600,521
0,4,1,10,602,628
0,4,1,11,653,390
0,4,1,12,710,523
0,4,1,13,760,600
0,4,1,14,612,163
0,4,1,15,630,159
0,4,1,17,663,167
0,6,1,0,616,171
0,6,1,1,641,240
0,6,1,2,597,244
0,6,1,5,682,238
0,6,1,6,762,258
0,6,1,7,844,238
0,6,1,8,600,388
0,6,1,9,602,523
0,6,1,10,602,628
0,6,1,11,653,392
0,6,1,12,712,523
0,6,1,13,760,598
0,6,1,14,610,163
0,6,1,15,628,159
0,6,1,17,661,167
0,8,1,0,616,171
0,8,1,1,641,238
0,8,1,2,597,244
0,8,1,5,682,238
0,8,1,6,762,256
0,8,1,7,844,238
0,8,1,8,597,388
0,8,1,9,602,523
0,8,1,10,602,630
0,8,1,11,655,392
0,8,1,12,712,523
0,8,1,13,760,598
0,8,1,14,610,163
0,8,1,15,628,159
0,8,1,17,661,167
0,10,1,0,616,171
0,10,1,1,641,238
0,10,1,2,600,242
0,10,1,5,682,236
0,10,1,6,762,258
0,10,1,7,844,238
0,10,1,8,595,384
0,10,1,9,600,523
0,10,1,10,602,630
0,10,1,11,653,390
0,10,1,12,710,521
0,10,1,13,762,598
0,10,1,14,610,163
0,10,1,15,628,159
0,10,1,17,661,167
0,12,1,0,616,171
0,12,1,1,641,238
0,12,1,2,597,244
0,12,1,5,682,238
0,12,1,6,762,256
0,12,1,7,844,238
0,12,1,8,597,386
0,12,1,9,600,521
0,12,1,10,602,628
0,12,1,11,655,392
0,12,1,12,708,523
0,12,1,13,762,600
0,12,1,14,610,161
0,12,1,15,628,159
0,12,1,17,661,167
0,14,1,0,616,171
0,14,1,1,641,240
0,14,1,2,597,244
0,14,1,3,583,317
0,14,1,5,684,238
0,14,1,6,762,256
0,14,1,7,844,238
0,14,1,8,600,388
0,14,1,9,600,521
0,14,1,10,602,628
0,14,1,11,655,392
0,14,1,12,708,521
0,14,1,13,762,600
0,14,1,14,610,161
0,14,1,15,628,159
0,14,1,17,661,165
0,16,1,0,616,169
0,16,1,1,641,238
0,16,1,2,600,242
0,16,1,3,579,321
0,16,1,5,682,236
0,16,1,6,762,256
0,16,1,7,844,236
0,16,1,8,597,388
0,16,1,9,600,516
0,16,1,10,602,628
0,16,1,11,655,392
0,16,1,12,712,523
0,16,1,13,760,598
0,16,1,14,610,161
0,16,1,15,628,159
0,16,1,17,661,165
0,18,1,0,616,169
0,18,1,1,641,238
0,18,1,2,597,244
0,18,1,5,682,236
0,18,1,6,762,254
0,18,1,7,844,236
0,18,1,8,600,386
0,18,1,9,600,521
0,18,1,10,602,628
0,18,1,11,655,390
0,18,1,12,710,521
0,18,1,13,760,596
0,18,1,14,610,161
0,18,1,15,628,157
0,18,1,17,661,165
0,20,1,0,616,169
0,20,1,1,641,240
0,20,1,2,597,244
0,20,1,3,581,319
0,20,1,5,682,236
0,20,1,6,762,256
0,20,1,7,844,236
0,20,1,8,597,386
0,20,1,9,600,521
0,20,1,10,602,628
0,20,1,11,655,390
0,20,1,12,714,523
0,20,1,13,760,596
0,20,1,14,610,161
0,20,1,15,628,157
0,20,1,17,661,165
0,22,1,0,616,169
0,22,1,1,641,238
0,22,1,2,597,244
0,22,1,3,581,317
0,22,1,5,682,236
0,22,1,6,762,256
0,22,1,7,844,236
0,22,1,8,597,386
0,22,1,9,600,521
0,22,1,10,602,626
0,22,1,11,653,388
0,22,1,12,714,523
0,22,1,13,758,594
0,22,1,14,610,161
0,22,1,15,628,157
0,22,1,17,661,165
0,24,1,0,616,169
0,24,1,1,641,236
0,24,1,2,600,240
0,24,1,3,581,311
0,24,1,4,567,329
0,24,1,5,682,236
0,24,1,6,762,256
0,24,1,7,844,236
0,24,1,8,597,386
0,24,1,9,602,523
0,24,1,10,602,628
0,24,1,11,655,390
0,24,1,12,714,527
0,24,1,13,780,643
0,24,1,14,610,161
0,24,1,15,628,157
0,24,1,17,661,167
0,26,1,0,616,171
0,26,1,1,641,238
0,26,1,2,597,242
0,26,1,3,581,315
0,26,1,4,567,331
0,26,1,5,682,238
0,26,1,6,764,256
0,26,1,7,844,236
0,26,1,8,597,388
0,26,1,9,600,523
0,26,1,10,602,628
0,26,1,11,653,390
0,26,1,12,708,521
0,26,1,13,760,598
0,26,1,14,610,161
0,26,1,15,628,159
0,26,1,17,661,167
0,28,1,0,616,173
0,28,1,1,641,240
0,28,1,2,597,244
0,28,1,3,581,319
0,28,1,5,682,240
0,28,1,6,764,258
0,28,1,7,844,238
0,28,1,8,597,388
0,28,1,9,600,523
0,28,1,10,602,630
0,28,1,11,653,392
0,28,1,12,708,521
0,28,1,13,780,643
0,28,1,14,612,163
0,28,1,15,630,161
0,28,1,17,663,167
0,30,1,0,616,173
0,30,1,1,643,238
0,30,1,2,602,240
0,30,1,5,684,240
0,30,1,6,764,258
0,30,1,7,844,238
0,30,1,8,597,388
0,30,1,9,600,523
0,30,1,10,602,632
0,30,1,11,655,394
0,30,1,12,706,521
0,30,1,13,760,598
0,30,1,14,612,165
0,30,1,15,630,163
0,30,1,17,663,169
0,32,1,0,618,175
0,32,1,1,643,240
0,32,1,2,600,244
0,32,1,5,684,242
0,32,1,6,764,260
0,32,1,7,844,240
0,32,1,8,597,386
0,32,1,9,600,523
0,32,1,10,602,632
0,32,1,11,653,390
0,32,1,12,675,468
0,32,1,14,612,165
0,32,1,15,630,163
0,32,1,17,663,169
0,34,1,0,618,175
0,34,1,1,643,238
0,34,1,2,602,242
0,34,1,5,682,242
0,34,1,6,764,260
0,34,1,7,844,240
0,34,1,8,597,388
0,34,1,9,600,525
0,34,1,10,602,632
0,34,1,11,653,394
0,34,1,12,712,527
0,34,1,13,758,596
0,34,1,14,612,167
0,34,1,15,630,163
0,34,1,17,663,171
0,36,1,0,618,175
0,36,1,1,643,240
0,36,1,2,600,246
0,36,1,5,684,242
0,36,1,6,764,260
0,36,1,7,844,240
0,36,1,8,597,392
0,36,1,9,602,529
0,36,1,10,602,634
0,36,1,11,655,397
0,36,1,12,708,525
0,36,1,13,780,647
0,36,1,14,612,167
0,36,1,15,630,163
0,36,1,17,663,171
0,38,1,0,618,175
0,38,1,1,643,242
0,38,1,2,600,246
0,38,1,3,579,325
0,38,1,5,684,242
0,38,1,6,764,260
0,38,1,7,844,242
0,38,1,8,597,390
0,38,1,9,602,529
0,38,1,10,602,634
0,38,1,11,655,397
0,38,1,12,712,527
0,38,1,13,780,647
0,38,1,14,612,167
0,38,1,15,630,165
0,38,1,17,663,171
0,40,1,0,618,177
0,40,1,1,643,242
