,flame,human,point,x,y
0,0,1,0,744,162
0,0,1,1,702,242
0,0,1,2,750,240
0,0,1,3,788,322
0,0,1,4,846,314
0,0,1,5,652,252
0,0,1,6,632,276
0,0,1,7,664,294
0,0,1,8,730,398
0,0,1,9,718,528
0,0,1,10,692,648
0,0,1,11,668,398
0,0,1,12,668,512
0,0,1,13,652,618
0,0,1,14,736,156
0,0,1,16,714,174
0,2,1,0,746,160
0,2,1,1,708,236
0,2,1,2,730,240
0,2,1,3,770,326
0,2,1,4,860,320
0,2,1,5,684,234
0,2,1,8,712,394
0,2,1,9,718,518
0,2,1,10,688,638
0,2,1,11,672,396
0,2,1,12,698,518
0,2,1,13,692,624
0,2,1,14,736,152
0,2,1,16,706,174
0,4,1,0,744,160
0,4,1,1,720,234
0,4,1,2,708,244
0,4,1,3,748,326
0,4,1,4,824,334
0,4,1,5,734,226
0,4,1,6,778,258
0,4,1,7,802,290
0,4,1,8,692,390
0,4,1,9,700,516
0,4,1,10,680,632
0,4,1,11,722,392
0,4,1,12,740,500
0,4,1,13,730,606
0,4,1,14,730,154
0,4,1,15,740,150
0,4,1,16,700,174
0,6,1,0,738,160
0,6,1,1,724,234
0,6,1,2,694,246
0,6,1,3,720,320
0,6,1,4,760,350
0,6,1,5,756,222
0,6,1,6,832,252
0,6,1,7,808,258
0,6,1,8,686,392
0,6,1,9,692,524
0,6,1,10,678,622
0,6,1,11,734,398
0,6,1,12,758,518
0,6,1,13,758,616
0,6,1,14,722,156
0,6,1,15,736,150
0,6,1,16,696,178
0,8,1,0,732,164
0,8,1,1,732,234
0,8,1,2,692,244
0,8,1,3,700,320
0,8,1,4,672,344
0,8,1,5,776,224
0,8,1,6,852,258
0,8,1,7,802,228
0,8,1,8,692,390
0,8,1,9,684,522
0,8,1,10,686,622
0,8,1,11,748,394
0,8,1,12,764,526
0,8,1,13,774,626
0,8,1,14,714,162
0,8,1,15,732,152
0,8,1,16,694,180
0,10,1,0,728,166
0,10,1,1,740,236
0,10,1,2,690,242
0,10,1,3,684,320
0,10,1,4,622,310
0,10,1,5,794,232
0,10,1,6,854,270
0,10,1,7,812,210
0,10,1,8,688,390
0,10,1,9,684,524
0,10,1,10,698,620
0,10,1,11,754,398
0,10,1,12,758,524
0,10,1,13,770,632
0,10,1,14,712,166
0,10,1,15,730,152
0,10,1,16,700,186
0,10,1,17,744,154
0,12,1,0,726,166
0,12,1,1,746,232
0,12,1,2,698,238
0,12,1,3,674,308
0,12,1,4,614,270
0,12,1,5,796,224
0,12,1,6,834,284
0,12,1,7,822,216
0,12,1,8,692,384
0,12,1,9,696,518
0,12,1,10,710,618
0,12,1,11,756,396
0,12,1,12,750,492
0,12,1,13,766,634
0,12,1,14,712,166
0,12,1,15,730,152
0,12,1,16,706,184
0,12,1,17,752,154
0,14,1,0,724,162
0,14,1,1,748,228
0,14,1,2,704,230
0,14,1,3,664,294
0,14,1,4,626,234
0,14,1,5,790,226
0,14,1,6,780,298
0,14,1,7,802,228
0,14,1,8,700,386
0,14,1,9,700,516
0,14,1,10,718,622
0,14,1,11,758,398
0,14,1,12,750,524
0,14,1,13,766,632
0,14,1,14,714,158
0,14,1,15,732,148
